cell,task,source,metric,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.019,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.127,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.067,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.016,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.07,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.029,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | Deepspeed-MII | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.032,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.019,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.127,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.323,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.016,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.07,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.029,0.044,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.159,0.053,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,3,,,,,,,,0.317,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,4,,,,,,,,0.054,0.086,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,3,,,,,,,,1.202,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,2,,,,,,,,0.269,0.053,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,3,,,,,,,,0.211,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,3,,,,,,,,0.615,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,3,,,,,,,,0.336,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,3,,,,,,,,0.116,0.055,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,2,,,,,,,,0.172,0.053,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.006,0.113,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.001,0.086,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.19,0.113,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x2 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.17,0.113,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.209,1.522,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | BBH,LLM BBH,llm-inference-bench,BBH,4,3,,,,,,,,0.164,1.522,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.017,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,0.252,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.344,1.522,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.133,0.02,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.057,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.17,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.101,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.076,0.237,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | Deepspeed-MII | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.312,1.522,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,4,,,,,,,,0.248,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,6,5,,,,,,,,0.419,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,4,,,,,,,,0.162,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,4,,,,,,,,0.989,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,4,,,,,,,,0.328,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,2,,,,,,,,0.018,0.224,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,4,,,,,,,,0.176,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,4,,,,,,,,0.546,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,4,,,,,,,,0.278,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,3,,,,,,,,0.062,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,4,,,,,,,,0.388,2.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.159,0.052,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,2,,,,,,,,0.317,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,3,,,,,,,,0.054,0.084,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,1.202,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.269,0.052,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.211,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.615,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.336,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.116,0.048,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.172,0.052,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,2,,,,,,,,0.164,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.113,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.036,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.38,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,2,,,,,,,,0.209,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.23,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.073,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.24,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.129,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,2,,,,,,,,0.028,0.812,,excluded: front shorter than six points
llm-bench | Nvidia A100 GPU x4 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,2,,,,,,,,0.167,0.812,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,3,2,,,,,,,,0.032,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.019,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,2,,,,,,,,0.127,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,2,,,,,,,,0.018,0.355,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,2,,,,,,,,0.016,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,2,,,,,,,,0.07,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,2,,,,,,,,0.029,0.049,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.159,0.11,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,2,,,,,,,,0.317,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,3,,,,,,,,0.054,0.141,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,1.202,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.269,0.11,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.211,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.615,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.336,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.116,0.1,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.172,0.11,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,9,2,,,,,,,,0.008,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,8,2,,,,,,,,0.187,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,7,3,,,,,,,,0.014,0.063,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,9,2,,,,,,,,0.665,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,8,2,,,,,,,,0.048,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,8,2,,,,,,,,0.199,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,8,2,,,,,,,,0.309,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,8,2,,,,,,,,0.228,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,8,2,,,,,,,,0.015,0.011,,excluded: front shorter than six points
llm-bench | Nvidia GH200 GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,2,,,,,,,,0.006,0.052,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,2,,,,,,,,0.001,0.084,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,2,,,,,,,,0.19,0.052,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,2,,,,,,,,0.17,0.052,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,2,,,,,,,,0.159,0.1,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,3,3,,,,,,,,0.172,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,3,,,,,,,,0.054,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,3,,,,,,,,0.498,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,2,,,,,,,,0.269,0.1,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,3,,,,,,,,0.029,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,3,,,,,,,,0.493,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,3,,,,,,,,0.181,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,2,,,,,,,,0.075,0.1,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,2,,,,,,,,0.172,0.1,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,10,2,,,,,,,,0.006,0.591,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,8,2,,,,,,,,0.001,0.07,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,10,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,10,3,,,,,,,,0.19,0.591,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,9,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x1 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,10,2,,,,,,,,0.246,0.013,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,3,1,,,,,,,,,,,excluded: front shorter than six points
